157,7.62,7.73,5.2,2.09
158,7.53,8.01,6,1.34
159,7.54,8.03,5.8,0.97
160,7.62,8.26,4,1.07
161,7.57,8.91,7.7,0.91
162,7.44,9.44,5.9,0.92
163,7.51,7.91,5.7,1.01
164,7.49,7.87,7.4,1.32
165,7.38,7.43,4.3,1.44
166,7.38,6.54,3.7,1.17
167,7.38,6.2,3.1,1.46
168,7.3,5.76,4.5,0.88
169,7.45,6.53,4.6,0.42
170,7.45,6.13,4.6,1.96
171,7.33,5.7,4.7,0.93
172,7.29,5.98,6.1,0.92
173,7.36,5.93,6.1,0.85
174,7.39,5.77,5.5,0.84
175,7.31,5.44,7.8,0.97
176,7.09,5.72,3.4,0.54
177,6.97,5.75,4.6,0.42
178,7.26,5.89,4.1,0.52
179,7.38,6.01,2.9,0.56
180,7.34,7.05,2.7,0.41
181,7.39,7.27,3.2,0.58
182,7.5,7.4,4.7,0.43
183,7.57,6.99,9.4,0.68
184,7.58,6.72,6.9,0.53
185,7.62,6.32,3.7,0.18
186,7.66,6.08,3.7,0.37
187,7.71,6.04,4.6,0.46
188,7.74,6.01,3.8,0.44
189,7.66,6.02,3.5,0.43
190,7.71,5.97,3.3,0.36
191,7.72,5.57,6.2,0.4
192,7.81,5.06,6.9,0.35
193,7.93,4.81,5.7,0.23
194,7.97,4.79,4.6,0.24
195,8.01,6.99,4.2,0.28
196,7.86,7.54,4.4,0.44
197,7.71,7.62,3.8,0.88
198,7.81,7.55,4.4,1.2
199,7.8,7.42,4.2,1.37
200,7.74,7.45,3.9,1.48
201,7.68,7.48,4.1,1.76
202,7.66,7.83,4.8,3.36
203,7.71,8.34,6.2,1.95
204,7.87,8.24,5.3,2.17
205,7.72,8.38,5,2.39
206,7.7,8.37,3.8,1.86
207,7.85,8.14,4,1.02
208,8.36,8.27,4.7,0.47
209,8.32,8.12,3.9,0.64
210,7.31,8.18,4.9,1.49
211,7.68,8.14,5.3,1.45
212,7.69,7.96,5.4,1.14
213,7.63,7.9,5,1.5
214,7.63,7.99,4.3,0.8
215,7.54,7.94,5.3,1.05
216,7.46,7.9,3.9,1
217,7.45,7.91,3.9,0.45
218,7.45,7.91,3.9,0.45
219,7.53,7.88,3.7,0.52
220,7.63,6.35,4.9,0.44
221,7.67,6,3.7,0.42
222,7.67,5.86,3.6,0.44
223,7.66,5.84,4.8,0.37
224,7.59,5.9,3.6,0.45
225,7.56,5.83,3.2,0.41
226,7.43,5.85,5.4,0.73
227,7.51,5.85,4,0.72
228,7.43,6.14,6,0.47
229,7.48,6.3,4.6,0.24
230,7.45,6.14,6,0.27
231,7.38,6.06,5.7,0.35
232,7.48,6,5.6,0.71
233,7.43,5.91,3.8,0.37
234,7.48,6.07,4.6,0.22
235,7.82,6.34,3.5,0.53
236,7.49,6.8,4.5,0.27
237,7.49,6.8,4.5,0.27
238,7.81,6.06,4.5,0.17
239,7.8,6.74,4.4,0.28
240,7.76,7.38,3.9,0.54
241,7.66,7.58,4.3,0.32
242,7.83,7.46,5.4,1.17
243,7.91,6.95,6,0.96
244,7.78,8.32,5.4,0.49
245,7.74,8.21,5.2,0.89
246,7.81,9.3,4.8,1.19
247,7.92,9.99,5.1,1.73
248,7.9,8.5,5.4,1.08
249,8.02,9.35,5.6,0.5
250,8.06,10.3,5.4,0.72
251,8.1,10.7,3.9,0.41
252,8.05,11.3,3.2,0.59
253,7.92,11,5.3,0.93
254,7.96,11.7,5.3,1.06
255,7.97,10.1,5.5,1.98
256,8.08,8.85,5.5,1.54
257,8.53,8.31,6.1,0.53
258,7.77,8.39,5.8,0.64
259,7.9,7.41,4.4,0.97
260,7.89,8.3,4.7,1.28
261,7.89,9.79,5,1.34
262,8.05,9.95,5.3,1.34
263,7.91,7.38,4.4,0.97
264,7.91,6.04,4.2,0.51
265,7.99,6.5,4.1,2.03
266,8,6.93,5.2,1.96
267,7.8,5.54,3.3,1.33
268,8.01,4.78,3.6,1.03
269,7.77,7.41,2.6,1.93
270,7.64,6.9,4.7,1.54
271,7.81,6.31,4.4,1.23
272,7.87,6.35,7.2,1.53
273,7.6,6.43,4.9,1.01
274,7.56,6.63,3.9,1.09
275,7.58,5.85,5.3,0.86
276,7.59,5.67,5.2,1.75
277,7.64,5.82,6.7,0.92
278,7.66,5.99,5.8,0.47
279,7.66,5.98,4.3,0.93
280,7.8,6.9,3.2,0.54
281,8.07,6.87,5.2,0.52
282,7.87,6.53,4.7,0.38
283,7.46,6.54,3.7,0.59
284,7.25,6.81,4.6,0.78
285,7.54,6.27,3.9,0.99
286,7.49,6.41,5.2,0.87
287,7.56,7.2,4.5,0.4
288,7.76,7.38,4,0.47
289,7.64,7.11,4.1,0.38
290,7.4,7.67,3.9,1.19
291,7.16,7.32,7.9,1.38
292,7.12,7.05,6.4,0.7
293,7.28,7.42,5.7,0.62
294,7.26,8.19,5.2,0.75
295,7.21,8.29,4.7,0.65
296,7.22,8.47,4,0.64
297,7.65,9.69,4.9,0.98
298,7.78,8.67,6.2,0.81
299,7.67,9.64,5.5,0.75
300,7.77,8.38,5.6,0.87
301,7.73,9.22,5.2,0.93
302,7.73,9.03,5.1,0.76
303,7.66,10.9,5.2,0.76
304,7.71,10.7,4.6,0.63
305,7.7,10.9,4.5,0.51
306,7.64,12.4,6.6,0.66
307,7.69,10.6,7.3,1.03
308,7.72,9.77,7,0.95
309,7.72,9.06,8.5,1.24
310,7.65,11,8.3,0.92
311,7.69,11.1,8.5,1.07
312,7.86,6.75,7.3,0.53
313,7.67,9.93,6.5,0.57
314,7.79,8.55,6.8,0.65
315,7.94,5.32,5.9,0.37
316,7.83,6,4.4,0.48
317,7.94,4.54,4.7,0.68
318,8.01,5.9,3.8,0.61
319,7.89,7.61,6.8,0.59
320,7.9,7.35,6.5,0.57
321,7.93,7.52,4,0.62
322,8.02,6.19,3.8,0.87
323,7.95,6.27,4.5,0.49
324,7.91,6.76,4.6,0.24
325,8.16,6.77,3.7,0.2
326,7.79,6.73,4.7,0.23
327,7.37,7.61,7.6,0.4
328,7.24,6.77,5.6,0.56
329,7.42,6.46,4.5,0.47
330,7.56,6.24,3.9,0.66
331,7.46,6.22,5.8,0.61
332,7.31,6.71,6.3,0.35
333,6.94,7.11,10.9,0.64
334,7.21,6.3,8.4,0.18
335,7.75,5.88,5,0.44
336,7.6,5.9,3.1,0.36
337,7.5,6.1,4.1,0.4
338,7.61,6.59,5,0.52
339,7.69,6.73,4,0.47
340,7.72,7.12,6.2,0.47
341,7.72,7.01,4.8,0.6
342,7.58,7.51,7.4,0.38
343,7.61,8.18,4.2,0.21
344,7.75,8.1,3.8,0.21
345,7.8,8.25,4.6,0.24
346,7.84,8.67,4.5,0.39
347,7.8,9.28,4.3,0.29
348,7.69,9.8,3.7,0.31
349,7.76,10.3,3.2,0.27
350,7.75,10.3,3.9,0.77
351,7.69,9.61,3.7,0.75
352,7.8,9.5,4.8,0.51
353,8.06,11,5.3,0.56
354,7.88,11,4.6,0.67
355,7.9,11.9,5,0.41
356,8.17,11.3,5.7,0.58
357,8.09,11.9,7.5,0.42
358,7.71,12.1,6.5,0.76
359,7.74,11.3,5.7,0.67
360,8.22,9.99,6.8,0.7
361,8.15,8.79,6.6,0.95
362,8.09,9.3,6.1,0.69
363,7.83,7.74,5.6,0.86
364,7.48,8.38,4.5,1.26
365,7.57,6.6,5.1,1.88
366,7.61,7.46,7.3,1.62
367,7.56,7.46,5.8,1.08
368,7.46,6.37,4.5,0.9
369,7.55,6.78,5,0.96
370,7.58,5.67,5.1,0.98
371,7.89,6.06,5.6,0.83
372,7.69,5.69,4.2,1.06
373,7.82,5.38,3.5,0.95
374,7.5,5.12,5.4,0.92
375,7.53,5.49,4.1,0.75
376,7.71,6.53,4,0.93
377,8.03,6.13,5,1.01
378,7.76,5.61,4.2,1.08
379,7.44,5.84,3.8,0.82
380,7.32,5.6,4.3,0.97
381,7.41,5.19,4,0.98
382,7.39,5,3.6,0.66
383,7.49,5.21,3.8,0.38
384,7.59,5.17,4.5,0.87
385,7.43,4.96,5.8,1.08
386,7.46,5.25,4.4,0.71
387,7.42,5.29,5.1,0.86
388,7.47,5.97,4.6,0.64
389,7.56,6.91,3.7,0.4
390,7.62,6.79,4.2,0.66
391,7.73,7.17,3.7,0.49
